nan-TW-Latn-pehoeji,nan-TW-Latn-tailo,zh-Hant-TW,en-US
m̄ bián kiaⁿ,m̄ bián kiann,不要害怕,Don't be afraid.
bián-lē,bián-lē,勉勵,to exhort
"Chit ê gín-ná bô sím-mih ài tha̍k chheh, chhiáⁿ lí kā i bián-lē (or kó͘-lē).",,這個孩子不怎麽喜歡讀書，請你給他鼓勵一番,"This lad doesn’t like to study very much, please give him some encouragement."
bián-chit,bián-tsit,免職,to dismiss | dismissal
"I chò m̄-tio̍h ê tāi-chì, hō͘ lâng bián-chit.",,他做錯了事情，被人家免職,He did something wrong and was dismissed.
biān-chú | biān-bo̍k,biān-tsú | biān-bo̍k,面子 | 面目,honour | face
thé-biān | thé-bīn,thé-biān | thé-bīn,體面,"a less mandarinized expression for ""face"" | honour"
sit thé-biān,sit thé-biān,失體面,"lose ""face"""
bô thé-biān,bô thé-biān,失去面子,"no ""face"""
ū thé-biān,ū thé-biān,有體面,"have ""face"""
kò͘ thé-biān,kòo thé-biān,顧體面,save face | to consider (to pay regard to) one's face
Lí tio̍h-ài kò͘ lín lāu-pē ê thé-biān.,,你應該保持你父親的體面,You should have regard for your father’s face. (reputation)
bia̍t,bia̍t,滅,perish | be destroyed
Hiah ê chhù hō͘ tōa-chúi bia̍t-liáu-liáu.,,那些房屋被水災所毀滅,Those houses were completely destroyed by a flood.
bia̍t-bông,bia̍t-bông,滅亡,destruction | be destroyed
Ū chi̍t ji̍t pháiⁿ-lâng lóng ē bia̍t (or bia̍t-bông).,,歹徒終有遭滅亡的一天,There will be a day when the wicked will be destroyed.
bih,bih,隱匿 | 躲,to hide oneself
bih sio chhōe,bih sio tshuē,捉迷藏,hide and seek
Bih tòa chhiū-á kha khah bē hō͘ hō͘ ak--tio̍h. (bē ak tio̍h hō͘),,躱在樹下較不會給雨淋到,If one takes shelter under a tree he is less likely to be soaked by rain.
bīn,bīn,面,face
gōa-bīn,guā-bīn,外面,outside
lāi-bīn,lāi-bīn,內面,inside
téng-bīn,tíng-bīn,上面,above
ē-bīn,ē-bīn,下面,below | under
bīn-sek,bīn-sik,面色,complexion
"Lí kīn-lâi bīn-sek bô sím-mih hó, sin-thé ū toh-ūi m̄ hó--bô?",,你近來的面色不大好，身體有什麽地方不好？,"Lately, your complexion has not been very good, is there something wrong with you?"
bîn-ná-chài,bîn-ná-tsài,明天,tomorrow
bîn-ná-ji̍t,bîn-ná-ji̍t,明天,tomorrow
bîn-ná chái-khí,bîn-ná tsái-khí,明天早上,tomorrow
bîn-ná tiong-tàu,bîn-ná tiong-tàu,明天中午,tomorrow at noon
bîn-ná ē-tàu,bîn-ná ē-tàu,明天下午,tomorrow from P.M. 12 - 2.
bîn-ná ē-po͘,bîn-ná ē-poo,明天下午,tomorrow afternoon
bîn-ná àm,bîn-ná àm,明天晚上,tomorow night
bîn-chhn̂g,bîn-tshn̂g,床,a bed
bîn-bāng,bîn-bāng,夢 | 作夢,a dream | to dream
Chang-àm bāng-kìⁿ chi̍t ê bîn-bāng chin chhù-bī.,,昨晚做了一個很有趣的夢,I dreamt a very interesting dream last night.
bín,bín,刷,to brush
Góa ê ê kā góa bín khah kim--lè!,,我的鞋給我擦光一點,Shine up my shoes for me!
bín-á,bín-á,刷子,a brush
khí-bín | khí-bín-á,khí-bín | khí-bín-á,牙刷,a tooth brush
bîn-bîn,bîn-bîn,矇矓,between sleeping and waking
Góa bîn-bîn ū thiaⁿ-kìⁿ i ê siaⁿ.,,朦朧中我聽見了他的聲音,"I heard his voice, when I was half awake."
bīn-kin | bīn-pò͘,bīn-kin | bīn-pòo,面巾 | 面布 | 毛巾,face towel
bīn-tháng,bīn-tháng,面盆,basin
bīn-chú | biān-chú,bīn-tsú | biān-tsú,面子,face
"Lí nā án-ni kóng, i ē sit bīn-chú.",,你如這樣說，他會失面子,"If you say that, he will lose face."
bîn-bōng,bîn-bōng,民望,confidence of the people
bîn-ì,bîn-ì,民意,the people's will | public opinion
Chèng-hú ài chun-tiōng bîn-ì.,,政府要尊重民意,The government must respect the will of the people.
bîn-soán,bîn-suán,民選,popular election | elected by the people
bîn-chú tek,bîn-tsú tik,民主的,democratic
bîn-chú kok,bîn-tsú kok,民主國,a democratic state
bîn-chú tóng,bîn-tsú tóng,民主黨,a democratic party | the Democrats
bîn-chú chú-gī,bîn-tsú tsú-gī,民主主義,democracy
bîn-chiòng,bîn-tsiòng,民眾,the people | the multitude
bîn-cho̍k,bîn-tso̍k,民族,a rice
bîn-ná-chài ê chím-má,bîn-ná-tsài ê tsím-má,明天此時,tomorrow at this time
biō,biō,廟,a temple
bió,bió,秒,second (time)
biô,biô,描,to trace
"Chit tiuⁿ tē-tô͘ chin pháiⁿ ōe, ēng biô ê khah khoài.",,這張地圖很難畫，用描的較快些,"This is a very difficult map to draw, it would be easier to trace it."
bi̍t,bi̍t,蜜,honey
bi̍t-phang,bi̍t-phang,蜜蜂,honey bee
Góa sàng lí chiah ê bi̍t sī góa ka-tī ê bi̍t-phang chò--ê.,,我送給你這些蜜是我自己的蜜蜂做的,"The honey which I gave you, was made by my own bees."
bi̍t-goa̍t,bi̍t-gua̍t,蜜月,a honeymoon
bi̍t-goa̍t lí-hêng,bi̍t-gua̍t lí-hîng,蜜月旅行 | 新婚旅行,a honeymoon trip
bi̍t-hōe,bi̍t-huē,密會,to meet in secret (N.V.)
bi̍t-kò,bi̍t-kò,密告,secret information (N.V)
bi̍t-tâm,bi̍t-tâm,密談,a secret talk (N.V.)
bi̍t-gī,bi̍t-gī,密議,a secret conference (N.V.)
bô,bô,無 | 沒有,not to have | there is not | there are not | negative with verb
bô sím-mih,bô sím-mih,沒有什麼⋯⋯,[bo5 sim2-mih] + an adjective = not particularly
bô-chhái,bô-tshái,可惜,regrettable | unfortunate
"Góa ê ti chhī kah chin tōa chiah chiah sí--khì, chin bô-chhái.",,我的猪養到很大纔死去，真可惜,"I raised my pigs until they were very big ones, then they died; it was very unfortunate."
bô--khì,bô--khì,掉了,gone | disappeared
bô--khì-à,bô--khì-à,死了,is dead | died
bô thâu-náu,bô thâu-náu,沒有腦袋 | 沒有頭腦 | 沒有頭蠢,stupid
bô-tùi,bô-tuì,不對,wrong | incorrect
bô lé-māu,bô lé-māu,沒有禮貌,implite
bō-á,bō-á,帽子,a hat | a cap
tì bō-á,tì bō-á,戴帽子,to wear a hat
liù bō-á,liù bō-á,脫帽子,to take off a hat
bô lūn,bô lūn,無論,not disscussing | no matter what
bô-lūn sím-mih,bô-lūn sím-mih,無論甚麼,no matter what | whatever
bô-lūn sím-mih lâng,bô-lūn sím-mih lâng,無論甚麼人,no matter who | whoever
bô-lūn toh-ūi,bô-lūn toh-uī,無論甚麼地方,no matter where | whereever
bô-lūn sím-mih só͘-chāi,bô-lūn sím-mih sóo-tsāi,無論甚麼地方,no matter where
bô chhái-kang,bô tshái-kang,徒勞,wasted effort | in vain
"Chit ê gín-ná chin put-hàu, bô chhái kang teh chhī.",,這個小孩子很不孝，養的徒勞,"This child is very disrespectful, it’s a waste of effort to raise him."
bú-chhin | bó-chhin,bú-tshin | bó-tshin,母親,mother
bô lō͘ ēng,bô lōo īng,沒有用處,useless
Chit ê lâng chin bô lō͘-ēng.,,這個人不中用,This guy is completely useless.
bô su-iâⁿ,bô su-iânn,不分勝負,a draw game
"Kin-ná-ji̍t ê pí-sài, saⁿ hun tùi saⁿ hun, bô su-iâⁿ.",,今天的比賽三分對三分，不分勝負,The score of today’s game was three to three; it was a draw.
bô iàu-kín,bô iàu-kín,不要緊,not important | never mind | it does not matter
bô koan-hē,bô kuan-hē,沒有關係,not important | never mind | it does not matter
bô lí ê koan-hē,bô lí ê kuan-hē,沒有你的關係,none of your business
bô lí ê tāi-chì,bô lí ê tāi-tsì,這不是你的事,none of your business
bô chú-ì | bô sè-jī,bô tsú-ì | bô sè-jī,不注意的,careless | carelessly
bô tiuⁿ-tî,bô tiunn-tî,不是故意的,unwillingly | inadvertently
"Góa bô tiuⁿ-tî kā lí that--tio̍h, chhiáⁿ lí m̄-thang siū-khì.",,我不小心把你踢到，請你不要生氣,"I did not kick you on purpose, please don’t be angry."
bô iân-kò͘ | bô lí-iû,bô iân-kòo | bô lí-iû,沒有緣故 | 沒有理由,unreasonably | no connection with
"Góa kap lí bô sím-mih iân-kò͘, góa ná tio̍h chhiáⁿ--lí?!",,我和你沒有什麽緣故（關係），我爲什麽要請你,"I have no special relation with you, why should I invite you?!"
bó͘,bóo,妻,a wife
bó͘-bó͘,bóo-bóo,某某,Mr. so and so
"Lí teh thèng-hāu bó͘-bó͘ lâng, góa chai-iáⁿ.",,你在等候某人，我知道,"I know that you are waiting for so and so. (Almost the same as, I know for whom you are waiting.)"
cha-bó͘,tsa-bóo,女性,female
cha-bó͘--ê,tsa-bóo--ê,女的,feminine
cha-bó͘ gín-ná,tsa-bóo gín-ná,女孩子,girl
cha-bó͘ kiáⁿ,tsa-bóo kiánn,女兒,a daughter
bō͘-e̍k,bōo-i̍k,貿易,commerce | trade
Bí-kok kap So͘-liân bô teh bō͘-e̍k.,,美國和蘇俄沒有貿易,America is not trading with Russia (Soviet).
bō͘ e̍k siong,bōo i̍k siong,貿易商,an importer or exporter | a trader
bō͘-chi̍p,bōo-tsi̍p,募集,to collect | (to appeal for subscriptions)
bō͘-koan,bōo-kuan,募捐,to collect by subscription
"Kàu-hōe teh bō͘-koan (or bō͘-chi̍p chîⁿ), boeh kiù-chè sàn-lâng.",,教會正在募捐爲的是要救濟窮人,The Church is making an appeal for contribution; it wants to give relief to the poor.
bô͘-hoān,bôo-huān,模範,example
"Lí sī tōa hiaⁿ, tio̍h-ài chò hó bô͘-hoān hō͘ sió-tī sió-mōe khòaⁿ.",,你是大哥，要做好榜樣給弟弟妹妹看,"You are the oldest brother, you must give a good example to your younger brothers and sisters."
boah,buah,抹,to apply | rub on
boah iû,buah iû,抹油,to use hair grease
boah io̍h-á,buah io̍h-á,抹藥,to apply a plaster (medicine)
boah ba̍k io̍h,buah ba̍k io̍h,抹目藥,to apply eye medicine
boah piah,buah piah,抹壁,to plaster a wall
boah-hún,buah-hún,抹粉,to powder one's face
bōe | iáu-bōe,buē | iáu-buē,還沒 | 尚未,not yet
bóe,bué,尾,tail | end | (Cl. for crawling things)
chi̍t bóe chôa,tsi̍t bué tsuâ,一條蛇 | 一尾蛇,a snake
"ū thâu, bô bóe",ū thâu | bô bué,有頭無尾,start without finishing
"hó͘ thâu, niáu-chhí bóe",hóo thâu | niáu-tshí bué,虎頭鼠尾,start with enthusiasm | end up with gusto.
bô thâu bô bóe,bô thâu bô bué,沒有頭緒,
"Chit ê gín-ná chò tāi-chì ū thâu (bô-thâu) bô bóe, thô͘-kha sàu bô chi̍t pòaⁿ, chiū cháu chhut-khì chhit-thô.",,這個孩子做事有頭無尾，地還沒掃一半，就跑出去玩耍,"This child is very unreliable in his actions, if he is sweeping the floor, before he gets it half swept, he runs out to play."
"Hit ê àn-kiâⁿ, kèng-chhat tiâu-cha kah bô thâu bô bóe. (ū thâu bô bóe)",,那個案件，警察調查得沒有頭緖,"The police have investigated the case, but have found no clue."
bóe,bué,,
Lâng lóng m̄ chai sè-kài ê soah-bóe ji̍t (boa̍t-ji̍t) (chòe-āu ê ji̍t-chí) sī tang-sî.,,人們都不曉得世界的末日是什麽時候,No man knows when the last day will be.
thâu chi̍t ê | thâu--a hit ê,thâu tsi̍t ê | thâu--a hit ê,頭一個,The first one
chòe āu hit ê | siōng lō͘ bóe hit ê | bóe--a hit ê,tsuè āu hit ê | siōng lōo bué hit ê | bué--a hit ê,最後那個,The last one
thâu chi̍t ji̍t | thâu--a hit ji̍t,thâu tsi̍t ji̍t | thâu--a hit ji̍t,頭一天,The first day
bóe ji̍t | lō͘-bóe ji̍t | bóe--a hit ji̍t,bué ji̍t | lōo-bué ji̍t | bué--a hit ji̍t,最後一天,The last day
thâu--a hit nn̄g ê,thâu--a hit nn̄g ê,頭兩個,The first two
bóe--a hit nn̄g ê | chòe-āu hit nn̄g ê,bué--a hit nn̄g ê | tsuè-āu hit nn̄g ê,最後兩個,The last two
thâu chi̍t kù | thâu--a hit kù,thâu tsi̍t kù | thâu--a hit kù,頭一句,The first sentence
bóe--a hit kù | chòe-āu hit kù,bué--a hit kù | tsuè-āu hit kù,最後那句,The last sentence
thâu--a hit gō͘ phiⁿ,thâu--a hit gōo phinn,頭那五頁,The first five pages
bóe--a hit gō͘ phiⁿ | chòe-āu hit gō͘ phiⁿ,bué--a hit gōo phinn | tsuè-āu hit gōo phinn,最後五頁,The last five pages
thâu--a hit nn̄g pái,thâu--a hit nn̄g pái,頭兩次,The first two times
bóe--a hit nn̄g pái | chòe-āu hit nn̄g pái,bué--a hit nn̄g pái | tsuè-āu hit nn̄g pái,最後兩次,The last two times
thâu--a hit saⁿ kù,thâu--a hit sann kù,頭三句,The first three sentences
bóe--a hit saⁿ kù | chòe-āu hit saⁿ kù,bué--a hit sann kù | tsuè-āu hit sann kù,最後三句,The last three sentences
goe̍h thâu hit nn̄g ji̍t,gue̍h thâu hit nn̄g ji̍t,月初那兩天,The first two days of the month
goe̍h bóe hit nn̄g ji̍t,gue̍h bué hit nn̄g ji̍t,月末那兩天,The last two days of the month
nî thâu hit nn̄g saⁿ ji̍t,nî thâu hit nn̄g sann ji̍t,年頭那兩三天,The first two or three days of the year
nî bóe hit nn̄g saⁿ ji̍t,nî bué hit nn̄g sann ji̍t,年末那兩三天,The last two or three days of the year
chi̍t nî ê thâu chi̍t ji̍t,tsi̍t nî ê thâu tsi̍t ji̍t,一年的頭一天,The first day of the year
chi̍t nî ê chòe āu hit ji̍t | kòe-nî-ji̍t,tsi̍t nî ê tsuè āu hit ji̍t | kuè-nî-ji̍t,一年的最後那天,The last day of the year
lō͘-bóe,lōo-bué,最後 | 終於,the last | at last
"Lí siōng lō͘-bóe lâi, bô lí ê hūn.",,你最後來，沒有你的份,"You came at the very end (the very latest), there is no portion for you."
soah bóe-á kiáⁿ,suah bué-á kiánn,最小的兒子,"the youngest (latest, smallest) child."
bôe-á,buê-á,梅子,plum
bôe-á tê,buê-á tê,梅子茶,plum tea
boeh,bueh,要 | 將要,to wish | want | willl | sign of future
"Góa boeh khì, lí boeh--bô?",,我要去，你要嗎？,"I am going, are you going?"
boeh,bueh,,This word is sometimes used to express a conditional clause
"Boeh bô lo̍h-hō͘, tiū-á í-keng koah-liáu--ah.",,若不是下雨，稻子已經割完了,If it had not rained the rice would be already cut.
"Boeh chai-iáⁿ i bô lâi, góa chiū m̄ lâi.",,早知道他沒有來，我就不來了,"If I had known that he was not coming, I would not have come."
"Boeh i-seng tī--leh, i chiū bē sí.",,要是醫生在，他就不會死,If a doctor had been here he would not have died.
"Boeh chai-iáⁿ ē khí-kè, góa chiū bô ài bē.",,早知道會漲價，我就不賣,"If I had known that the price would go up, I would not have sold it."
"Boeh chai-iáⁿ ē hó-thiⁿ, góa chiū bô gia̍h hō͘-sòaⁿ lâi.",,要是知道會放晴，我就不帶雨傘來,"If I had known the weather would be nice, I would not have brought an umbrella."
boeh àm-á,bueh àm-á,黃昏,dusk
boeh hó--à,bueh hó--à,快好,about finished
teh boeh,teh bueh,將要,about to
"I teh-boeh sí--à, chhun bô chi̍t tiám-cheng ê sìⁿ-miā.",,他快死了，剩下不到一個鐘頭的生命,"He is at the point of death, there isn’t an hour of life left."
boe̍h-á,bue̍h-á,襪子,stockings | socks
bo̍k-tiûⁿ,bo̍k-tiûnn,牧場,a meadow | a pasture
bo̍k-châi | châi-bo̍k,bo̍k-tsâi | tsâi-bo̍k,木材,timber | lumber wood
bo̍k-tông,bo̍k-tông,牧童,a shepherd
bo̍k-su,bo̍k-su,牧師,a minister
bo̍k-te̍k,bo̍k-ti̍k,目的,aim | purpose
"Lí chò chit hāng tāi-chì, ūi-tio̍h sím-mih bo̍k-te̍k?",,你做這件事情，爲了什麽目的？,For what purpose are you doing this? (What is your aim in doing this?)
bo̍k-te̍k-tē,bo̍k-ti̍k-tē,目的地,destination
Lán koh kúi tiám-cheng chiah ē kàu bo̍k-te̍k-tē?,,我們再過幾點鐘才能到目的地？,In how many hours shall we reach our destination?
bong,bong,摸,to touch
"Góa chit niá sin saⁿ, lí m̄-thang kā góa bong.",,我這件新衣服，你不要摸它,Don’t you touch this new shirt of mine.
bōng,bōng,墓,a tomb
bông,bông,霧,fog
"Chái-khí-sî nā tà-bông, it-tēng ē hó thiⁿ.",,早上如果有霧，一定會放晴,"If it is foggy in the morning, it will certainly be good weather."
tà bông,tà bông,霧深的,be foggy | misty
bông-bông | bông-bông biáu-biáu,bông-bông | bông-bông biáu-biáu,矇矇渺渺,to hang in thick clouds | mist or vapor | very obscure | indistinct
bông-tn̂g,bông-tn̂g,盲腸,the blind gut | appendix
bông-tn̂g-iām,bông-tn̂g-iām,盲腸炎,appendicitis
bú | bó,bú | bó,母 | 雌,female of animals
bú-hāu,bú-hāu,母校,alma mater
bû-hoa-kó,bû-hua-kó,無花果,a fig
bû-só͘-put-lêng,bû-sóo-put-lîng,無所不能,omnipotent
bû-só͘-put-chāi,bû-sóo-put-tsāi,無所不在,omnipresent
bú-chhin | a-bú | lāu-bú,bú-tshin | a-bú | lāu-bú,母親 | 媽媽,mama | mother
bù-khì,bù-khì,武器,a weapon
bú-jio̍k,bú-jio̍k,侮辱,to slight | insult
"Lí nā ē bú-jio̍k lâng, ū-sî chiū ē hō͘ lâng bú-jio̍k.",,如你要侮辱他人，有時就會被人侮辱,"If you insult others, you will at times be insulted by them."
bú-le̍k,bú-li̍k,武力,military power | the sword
bú-khì,bú-khì,武器,arms | a weapon
Ba̍k-sai sī cha-bó͘-lâng ê bú-khì.,,眼淚是女人的武器,Tears are women’s weapons.
bú-chong,bú-tsong,武裝,arms | armaments
bú-chong kái-tî,bú-tsong kái-tî,解除武裝,disarmament (N.V.)
bú-gē,bú-gē,武藝,military arts (accomplishments)
bú-tâi,bú-tâi,舞臺,the stage
bū,bū,視力弱的,eyes dim | blurred
"Góa chím-má ba̍k-chiu khah bū, bô kòa ba̍k-kiàⁿ lóng bô khòaⁿ--kìⁿ.",,我現在眼睛的視力較弱，沒有戴眼鏡都看不見,"My eyes are now rather dim, if I don’t wear glasses, I can not see at all."
būn-tê,būn-tê,問題,problem | exam questions
būn-tap,būn-tap,問答,questions and answers | a dialogue | a catechism
bûn-ha̍k,bûn-ha̍k,文學,literature
bûn-kho,bûn-kho,文科,The Literature Department
bûn-hòa,bûn-huà,文化,culture | civilization
Tâi-oân kap Bí-kok bûn-hòa chha bô lōa chē.,,台灣文化和米國差不多,Taiwanese and American culture are not very different.
bûn-si,bûn-si,文書,a document | writing
kong-bûn-si,kong-bûn-si,公文書,Archives
bûn-bêng,bûn-bîng,文明,civilization
bûn-hoat,bûn-huat,文法,grammar
Eng-gí ê Bûn-hoat chin ho̍k-cha̍p.,,英語的文法很複雜,English grammar is very complicated.
bûn-chiuⁿ,bûn-tsiunn,文章,composition
bu̍t-lí,bu̍t-lí,物理,physics
bu̍t-chit,bu̍t-tsit,物質,matter | a substance
bu̍t-chit chú-gī,bu̍t-tsit tsú-gī,物質主義,materialism
So͘-liân sī bu̍t-chit chú-gī ê kok-ka.,,蘇俄是物質主義的國家,Russia (Soviet) is a materialist nation.
bu̍t-kè,bu̍t-kè,物價,prices (of commodities) of various articles
bu̍t-sek,bu̍t-sik,物色,to look for | hunt up
Pài-thok lí kā góa tàu bu̍t-sek chi̍t keng chhù.,,拜托你帮我物色一間房子,Will you be so kind as to help me look for a house.
