en_GB,es,ja,zh_CN,zh_TW,en_US
Alabama,,アラバマ,阿拉巴马州,阿拉巴馬,Alabama
Alabat,,アラバト島,,阿拉巴特,Alabat
Alarm,Alarma,,警告,鬧鐘,Alarm
Alarm clock,,アラームクロック,警告时钟,系統時鐘訊號,Alarm clock
Albania,,アルバニア,阿尔巴尼亚,阿爾巴尼亞,Albania
"Albania , Leke","Albania , lek","アルバニア , レク",阿尔巴尼亚 Leke,,"Albania , Leke"
Albanian,Albano,アルバニア語,阿尔巴尼亚语,阿爾巴尼亞文,Albanian
Albany,,アルバニー,奥尔巴尼,奧巴尼,Albany
Albemarle,,アルベマール,阿尔比马尔,奧柏馬,Albemarle
Albenga,,アルベンガ,阿本加,阿本加,Albenga
Albert Lea,,,艾伯特利,亞伯特李,Albert Lea
Alberta,,アルバータ,阿尔伯达,亞伯達,Alberta
Albertville,,アルバートビル,阿尔贝维尔,亞伯特維,Albertville
Albi,,アルビ,阿尔比,亞爾比,Albi
Albion,,アルビオン,英格兰,亞爾比昂,Albion
Album,Álbum,アルバム,专辑,專輯,Album
Album :,Álbum :,アルバム :,专辑 ：,專輯 ：,Album :
Album Style,,アルバムのスタイル,相册类型,相簿,Album Style
Album Title,,アルバム,专辑标题,專輯標題,Album Title
Album name,,,相册名,相簿名稱,Album name
Albuquerque,,アルバカーキ,阿尔伯克基,阿布奎基,Albuquerque
Albuquerque Airport,"Albuquerque , aeropuerto",アルバカーキ空港,阿尔伯克基机场,阿布奎基機場,Albuquerque Airport
Albuquerque International Airport,"Albuquerque , aeropuerto internacional",,,,Albuquerque International Airport
Albury,,オルベリー,,奧柏立,Albury
Alcantarilla,,,阿坎塔利亚,阿坎塔利亞,Alcantarilla
Alençon,,,,亞倫孫,Alençon
AlençonAmbérieu,AlenconAmbérieu,,阿朗松Ambérieu,亞倫孫Ambérieu,AlençonAmbérieu
Aleppo,,アレッポ,阿勒颇,阿勒波,Aleppo
Alert,Alerta,アラート,阿勒特,阿勒特,Alert
Alert Type,,,警报类型,警告類型,Alert Type
Alerting,Alerta,,提醒,警示,Alerting
Algeria,Argelia,アルジェリア,阿尔及利亚,阿爾及利亞,Algeria
AlgeriaSamoa,ArgeliaSamoa,アルジェリアSamoa,阿尔及利亚Samoa,阿爾及利亞Samoa,AlgeriaSamoa
Algerian Dinar,,,,阿爾及利亞第納爾,Algerian Dinar
Alghero,,アルゲーロ ・ フェルティリア空港,阿尔盖罗,阿加洛,Alghero
Algona,,アルゴナ,阿尔戈纳,阿哥納,Algona
Algorithm,Algoritmo,アルゴリズム,算法,演算法,Algorithm
Algorithm :,,アルゴリズム :,算法 ：,演算法 ：,Algorithm :
Alicante,,アリカンテ,阿利坎特,亞利坎提,Alicante
Alice,,アリス,艾丽丝,愛麗斯,Alice
"Alice Town , Bimini",,"アリス ・ タウン , ビミニ島",比迷尼艾丽丝城,愛麗斯鎮 ， 比麥尼,"Alice Town , Bimini"
Alien Glow,,エイリアン発光 ...,,,Alien Glow
Alien Map,Mapa alienígena,エイリアンマップ ...,,,Alien Map
Alien Map filter example,,エイリアンマップフィルターの使用例,,,Alien Map filter example
Alien Neon,Neo n alieni gena,エイリアンネオン ...,,,Alien Neon
Align,Alineacio n,整列,对齐,對齊,Align
Align Tool,,整列ツール,对齐工具,,Align Tool
Align bottom,Alinear por parte inferior,下寄せ,底部对齐,置下,Align bottom
Align centre,Alinear al centro,中央寄せ,左对齐,置中,Align center
Align horizontal centre,Alinear por centro horizontal,,水平中心共线,水平置中,Align horizontal center
Align left,,左寄せ,左对齐,向左對齊,Align left
Align right,,右寄せ,右对齐,向右對齊,Align right
Align text,Alinear texto,文字列の位置,对齐文本,文字對齊,Align text
Align to : Align to :,Alinear con : Align to :,,对齐到 ： Align to :,貼齊 ： Align to :,Align to : Align to :
Align top,,上寄せ,顶端对齐,置上,Align top
Align vertical centre,Alinear por centro vertical,,垂直中心共线,垂直置中,Align vertical center
Alignment,Alineación,配置,对齐,對齊方式,Alignment
Alignment & Behaviour,Alineación y comportamiento,配置と動作,对齐和行为,排列 & 行為,Alignment & behavior
Alignment :,Alineación :,スタンプソース ; 位置合わせ,对齐 ：,對齊方式 ：,Alignment :
Alignment flag,,配置,对齐参数,對齊方式旗標,Alignment flag
Aliwal North,,アリワルノース,,北阿里瓦,Aliwal North
Alki Point,,アルキン岬,,阿爾基岬,Alki Point
All,,すべて,所有,全部,All
All Day,,全日,全天,整天,All Day
All Day Event,,,全天事件,,All Day Event
All Mail,,すべてのメール,全部邮件,所有郵件,All Mail
All people have a map,,,所有的人都有地图,,All people have a map
Allan Day,,,作者 ： Allan Day,,Allan Day
Allegheny County Airport,"Allegheny County , aeropuerto",,,,Allegheny County Airport
Allentown,,アレンタウン,艾伦镇,亞林鎮,Allentown
Alliance,,アライアンス,阿莱恩斯,艾來安斯,Alliance
Allocation,,領域,分配,定位,Allocation
Allow,Permitir,,允许,允許,Allow
Allow Grow,Permitir crecer,拡大可能,可放大,可擴大,Allow Grow
Allow Java,Permitir Java,Java の実行,允许 Java,可使用 Java,Allow Java
Allow Java .,Permitir Java .,Java の実行を許可します 。,允许 Java 。,可使用 Java 。,Allow Java .
Allow JavaScript,Permitir JavaScript,JavaScript の実行,允许 JavaScript,可使用 JavaScript,Allow JavaScript
Allow JavaScript .,Permitir JavaScript .,JavaScript の実行を許可します 。,允许 JavaScript 。,可使用 JavaScript 。,Allow JavaScript .
Allow Shrink,Permitir encoger,縮小可否,可缩小,可縮小,Allow Shrink
Allow Write,,書き込み許可,允许写,允許寫入,Allow Write
Allow empty,Permitir vacío,全て空,允许空值,接受空白,Allow empty
Allow growing,,拡大を許可,,,Allow growing
Allow logout,,ログアウトを許可するかどうか,允许注销,允許登出,Allow logout
Allow markup,,,允许标记,允許標記,Allow markup
Allow page change,,,允许页面更改,,Allow page change
Allow writing to the image,,,,允許寫入映像檔,Allow writing to the image
Alma,,エルマ,阿尔玛,阿爾馬,Alma
Almaty,,,阿拉木图,拉木圖,Almaty
AlmatyAktau,,,阿拉木图Aktau,拉木圖Aktau,AlmatyAktau
Almería,,,阿尔梅里亚,阿美里亞,Almería
Alor Setar,,アロールスター,,亞羅士打,Alor Setar
Alpena,,アルピナ,阿尔皮纳,阿皮納,Alpena
Alpha,Alfa,アルファ,透明,透明,Alpha
Alpha Channel,Canal alfa,アルファチャンネル,Alpha 通道,,Alpha Channel
Alpha channel,Canal alfa,アルファチャンネル,Alpha 通道,,Alpha channel
Alpha to Logo,Alfa a logotipo,ロゴ効果,,,Alpha to Logo
Alpha to Selection,,不透明部分を選択範囲に,,,Alpha to Selection
Alpha value,Valor alfa,アルファ値,Alpha 值,Alpha 值,Alpha value
Alpha-weighting,,アルファ加重,,,Alpha-weighting
Alphabet,Alfabeto,アルファベット,字母,字母,Alphabet
Alphabet :,Alfabeto :,アルファベット :,字母 ：,字母 ：,Alphabet :
Alphabet Default,,アルファベットの向き,默认字母,預設字母,Alphabet Default
Alphabet Selection,,アルファベットの選択,字母选择,字母選定範圍,Alphabet Selection
Alpine,,アルプス,阿尔卑斯,阿爾平,Alpine
Alt + Down,Alt,Alt 下矢印,,,Alt + Down
"Alt + F4 , Ctrl + W",Alt Ctrl,,,,"Alt + F4 , Ctrl + W"
Alt + Home,Alt,,,,Alt + Home
Alt + Up,Alt,Alt 上矢印,,,Alt + Up
Alt Tab Behaviour,,,Alt Tab 行为,Alt Tab 行為,Alt Tab behavior
Alt Text,Texto alt,代替えテキスト,替代文字,替代文字,Alt Text
AltGr,,,AltGr 键,,AltGr
Alta,,アルタ,阿尔塔,阿塔,Alta
Alta Lake,,アルタ湖,阿尔塔湖,阿塔湖,Alta Lake
Altamira,,アルタミラ,奥尔塔米拉,阿塔米拉,Altamira
Altenburg,,アルテンブルク,阿尔腾堡,阿爾滕堡,Altenburg
Altenburg-Nobitz,,,,阿丁堡-Nobitz,Altenburg-Nobitz
Alternate,Alternativa,別の割り当て,备选,,Alternate
Alternative greeting text .,,代わりの挨拶テキストです 。,替代的祝福语 。,替換的歡迎文字 。,Alternative greeting text .
Alternative port number,,別のポート番号,替代端口号,替代連接埠號,Alternative port number
Alton,,アルトン,奥尔顿,奧頓,Alton
Altoona,,アルトゥーナ,阿尔图纳,阿爾圖納,Altoona
Alva,,アルヴァ,阿尔瓦,艾爾瓦,Alva
Alzip archive,,Alzip アーカイブ,Alzip 归档文件,Alzip 封存檔,Alzip archive
Am-Timan,,,,安提曼,Am-Timan
Amahai,,,,阿馬哈爾,Amahai
Amami,,奄美群島,,奄美群島,Amami
Amapala,,アマポーラ,阿马帕拉,阿馬帕拉,Amapala
Amapá,,,阿马帕州,阿馬帕,Amapá
Amarillo,,アマリロ,阿玛里洛,阿馬立羅,Amarillo
Amazon France,Amazon Francia,,亚马逊法国,,Amazon France
Amazon Germany,Amazon Alemania,,亚马逊德国,,Amazon Germany
Amazon Japan,Amazon Japón,,亚马逊日本,,Amazon Japan
Amazon MP3 Import,,Amazon MP3をインポート,Amazon MP3 导入,Amazon MP3 匯入,Amazon MP3 Import
Amazon MP3 Store,,Amazon MP3ストア,,Amazon MP3 商店,Amazon MP3 Store
Amazon MP3 Store Source,,Amazon MP3ストア,Amazon MP3 Store 源,Amazon MP3 商店來源,Amazon MP3 Store Source
Amazon UK,,,亚马逊英国,,Amazon UK
Amazon US,Amazon EE . UU .,,亚马逊美国,,Amazon US
Amberley,,,,安伯利,Amberley
Ambient,Ambiente,アンビエント,环境光,周遭,Ambient
Ambient :,Ambiente :,環境光 :,周围 ：,環境 ：,Ambient :
Ambler,,アンブラー,安姆伯勒,,Ambler
Ambouli,,,,阿姆保利,Ambouli
Ambérieu-en-Bugey,,,昂贝略昂比热,,Ambérieu-en-Bugey
Amelia,,アメリア,阿米莉娅,阿美利亞,Amelia
American Pie,,アメリカンパイ,,,American Pie
American Samoa,Samoa Americana,アメリカ領サモア,美属萨摩亚,美屬薩摩亞,American Samoa
Amharic,Amhárico,,阿比西尼亚官话,阿姆哈拉文,Amharic
Ami,,阿見,阿美,阿見,Ami
Amman,,アンマン,安曼,安曼,Amman
Amount,,総計,数量,數量,Amount
Amount :,,,数量 ：,數量 ：,Amount :
Amphitrite Point,,アムピトリーテー岬,,,Amphitrite Point
Amqui,,,昂基,安基,Amqui
An ALSA mixer for GNOME,,GNOME 向けの ALSA ミキサーです 。,GNOME ALSA 声卡混音器,適用於 GNOME 的 ALSA 混音程式,An ALSA mixer for GNOME
An archive manager for GNOME .,,GNOME 向けの書庫マネージャです 。,GNOME 的归档管理器 。,GNOME 上的壓縮檔管理員程式 。,An archive manager for GNOME .
An example from plug-in author,,プラグイン作者による例図,,,An example from plug-in author
An example plugin written in Vala .,,,使用 Vala 编写的一个示例插件 。,,An example plugin written in Vala .
Anaheim,,アナハイム,阿纳海姆,安納海姆,Anaheim
Analalava,,,,阿納拉拉瓦,Analalava
AnapaАрхангельск,Anapa,アナパАрхангельск,阿纳帕Архангельск,阿納帕Архангельск,AnapaАрхангельск
Anchor,Ancla,固定,固定,固定,Anchor
Anchor :,Anclaje :,アンカー :,锚点,錨點 ：,Anchor :
Anchor Floating Selection,,フローティング選択範囲を固定するその他の方法,,,Anchor Floating Selection
Anchor Gravity,,重力方向のアンカー,锚点重心,錨點引力,Anchor Gravity
Anchor X,Ancla X,X軸のアンカー,锚点 X,錨點 X 座標,Anchor X
Anchor Y,Ancla Y,Y軸のアンカー,锚点 Y,錨點 Y 座標,Anchor Y
Anchor layer,Anclar la capa,レイヤーの固定,,,Anchor layer
Anchor point for text,,,文本的锚点,文字的錨點,Anchor point for text
Anchor the floating layer,Anclar la capa flotante,フローティングレイヤーを固定,,,Anchor the floating layer
Anchorage,,アンカレッジ,安克雷奇,安克治,Anchorage
Ancona,,アンコーナ,安科纳,安科納,Ancona
Angle,Ángulo,角度,年龄,角度,Angle
Angle 15 °,Ángulo 15°,角度 15 度,,,Angle 15 °
Angle :,Ángulo :,角度 :,角度 ：,角度 ：,Angle :
Angle Begin,Ángulo inicial,開始角度,开始角度,角度起始,Angle Begin
Angle Inlet,,,安格尔因莱特,朋德灣,Angle Inlet
Angle example,Ángulo,角度 の例,,,Angle example
Angle x tilt,,X軸の傾き角度,倾角 x,角度 X 斜度,Angle x tilt
Angle y tilt,,Y軸の傾き角度,倾角 y,角度 Y 斜度,Angle y tilt
Angle z tilt,,Z軸の傾き角度,倾角 z,角度 Z 斜度,Angle z tilt
Angleton,,アングルトン,安格尔顿,安格頓,Angleton
Angola,,アンゴラ,安哥拉,安哥拉,Angola
"Angola , Kwanza","Angola , kwanza","アンゴラ , クワンザ",安哥拉 Kwanza,,"Angola , Kwanza"
Angoon,,,安贡,,Angoon
Angry,,,生气,,Angry
Anguilla,Anguila,,,,Anguilla
AnguillaCountry,AnguilaCountry,アングィラ島Country,安圭拉岛Country,安圭拉Country,AnguillaCountry
Anhui,,安徽,安徽,安徽,Anhui
AnhuiState in China,,安徽State in China,安徽State in China,安徽State in China,AnhuiState in China
Aniak,,アニアク,阿尼亚克,阿尼亞卡,Aniak
Anim Preview,,動画プレビュー,预览,動畫預覽,Anim Preview
Animatable,Animable,アニメーション化,可激活,具有動畫,Animatable
Animate,Animar,動画化,,,Animate
Animation,Animación,アニメーション,卡通,動畫,Animation
"Anita Reitere , Riga , Latvia – Documentation – Phil Bull",,,"Anita Reitere , Riga , Latvia – 文档 – Phil Bull",,"Anita Reitere , Riga , Latvia – Documentation – Phil Bull"
Anjuta IDE,EID Anjuta,Anjuta 統合開発環境,,,Anjuta IDE
Anjuta Manual,,,Anjuta 手册,Anjuta 手冊,Anjuta Manual
Ankara,,アンカラ,安卡拉,安卡拉,Ankara
Ankara-Guvercin Lik Airport,"Ankara-Guvercin Lik , aeropuerto",,,,Ankara-Guvercin Lik Airport
Ankarena,,,,安卡拉,Ankarena
Ankeny,,,安科尼,安克尼,Ankeny
Ann Arbor,,アナーバー,安阿伯,安亞伯,Ann Arbor
Annaba,,アナバ,安纳巴,亞拿巴,Annaba
Annette,,アネット,安妮特,安妮特島,Annette
Another,Otro,,另一个,另一個,Another
Anta Huaraz,,,,安塔 • 瓦拉斯,Anta Huaraz
Antalaha,,,,安塔拉哈,Antalaha
Antalya,,アンタルヤ,安塔利亚,安塔利亞,Antalya
Antananarivo,,アンタナナリボ,塔那那利佛,安塔那那利佛,Antananarivo
Antarctica,,南極大陸,南极洲,南極洲,Antarctica
Antenna,,,天线,,Antenna
Anthophobia,Antrofobia,,花恐怖症,,Anthophobia
Anthropophobia,Antropofobia,,人群恐怖症,,Anthropophobia
Antigo,,アンチゴ,安蒂戈,安提哥,Antigo
Antigua,,アンチグア,安提瓜岛,安地瓜,Antigua
Antwerp,,アントワープ,安特卫普,安特衛普,Antwerp
Anvik,,,安维克,安維克,Anvik
Any,Cualquiera,全て,通用,任何分類,Any
Any Category,Cualquier categoría,,任何类别,,Any Category
Any Category :,Cualquier categoría :,,任何类别 ：,,Any Category :
Any Frame ...,,終了フレーム,任意帧 …,終止畫格 ︰,Any Frame ...
Any label,Cualquier etiqueta,全てのラベル,通用标签,任何標籤,Any label
Any text,Cualquier texto,,任意文字,任意文字,Any text
Any type of connection,,全ての接続,任何类型的连接,任何類型的連線,Any type of connection
Aomori,,青森,奥莫里,青森,Aomori
Aoulef,,,,奧萊夫,Aoulef
Apalachicola,,アパラチコーラ,阿帕拉契科拉,亞伯拉契寇拉,Apalachicola
Aparri,,アパリ,阿巴里,阿帕里,Aparri
Aperture :,Apertura :,レンズ径 :,光圈 ：,,Aperture :
Aperture Value,,,光圈值,光圈值,Aperture Value
Aperture value,Apertura,アパーチャの値,光圈值,光圈值,Aperture value
ApiaCity in San Marino,,アピーアCity in San Marino,阿皮亚City in San Marino,亞庇City in San Marino,ApiaCity in San Marino
Apolo,,アポロ,阿波罗,阿波羅,Apolo
App,Apl,アプリ,程序,應用程式,App
App ID,,アプリの ID,程序ID,程式識別碼,App ID
Apparition,Aparición,,幻影,幽靈,Apparition
Appearance,Apariencia,外観,外观,外觀,Appearance
Apple,Manzana,,苹果,,Apple
Apple Boot Partition,,Apple 起動パーティション,Apple 启动分区,Apple 開機分割區,Apple Boot Partition
Apple Bootpart-type,,Apple ブートpart-type,Apple 启动区part-type,Apple 開機區part-type,Apple Bootpart-type
Apple Core Storagepart-type,,,Apple 内核存储part-type,Apple 核心儲存裝置part-type,Apple Core Storagepart-type
Apple Label Partition,,Apple ラベル ・ パーティション,Apple Label 分区,Apple 標籤分割區,Apple Label Partition
Apple Labelpart-type,,Apple ラベルpart-type,Apple 标识区part-type,Apple 標籤part-type,Apple Labelpart-type
"Apple Mobile Device , Jailbroken",,,,"Apple Mobile Device , 已越獄","Apple Mobile Device , Jailbroken"
Apple Packet Logger File,,Apple パケットロガーファイル,Apple Packet Logger 文件,Apple 封包記錄檔,Apple Packet Logger File
Apple Packet Logger Format,,Apple パケットロガーフォーマット,Apple Packet Logger 格式,Apple 封包記錄器格式,Apple Packet Logger Format
Apple Partition Map,,Apple パーティションマップ,Apple 分区映射,Apple 分割區圖,Apple Partition Map
Apple Partition Mappart-type,,Apple パーティションマップpart-type,Apple 分区映射part-type,Apple 分割表part-type,Apple Partition Mappart-type
Apple Partition Table,,Apple パーティションテーブル,Apple 分区表,Apple 分割表,Apple Partition Table
Apple RAID Partition,,Apple RAID パーティション,Apple RAID 分区,Apple RAID 分割區,Apple RAID Partition
Apple TV Recovery Partition,,Apple TV リカバリパーティション,Apple TV 恢复分区,Apple TV 還原分割區,Apple TV Recovery Partition
Apple TV Recoverypart-type,,,Apple TV 恢复区part-type,,Apple TV Recoverypart-type
Apple UFS Partition,,Apple UFS パーティション,Apple UFS 分区,Apple UFS 分割區,Apple UFS Partition
Apple Valley,,,苹果谷,阿普維利,Apple Valley
Apple ZFS Partition,,Apple ZFS パーティション,Apple ZFS 分区,Apple ZFS 分割區,Apple ZFS Partition
